mid,publish_time,user_name,user_link,content,weibo_link,forward_num,comment_num,like_num
4741344524501242,2022-02-27 04:41:27,用户3685088161,https://weibo.com/u/3685088161,转发微博,https://weibo.com/3685088161/LhlyIiSYG,0,0,0
4741287469121701,2022-02-27 00:54:43,环游鑫球h,https://weibo.com/u/6560915007,转发微博,https://weibo.com/6560915007/Lhk4GCgYd,0,0,0
4741270313898252,2022-02-26 23:46:34,守护丝源,https://weibo.com/u/3951686075,俄罗斯与乌克兰开战。记得一下这个重大事件！,https://weibo.com/3951686075/LhjD1gm72,0,2,0
4741211716059348,2022-02-26 19:53:42,绎夏繁花yu,https://weibo.com/u/1835789110,转发微博,https://weibo.com/1835789110/Lhi6vpqjq,0,0,0
4740897403048675,2022-02-25 23:04:45,草莓小窝518,https://weibo.com/u/1798703895,转发微博,https://weibo.com/1798703895/Lh9VycN6b,0,0,0
4740889681860503,2022-02-25 22:34:04,gelv-ivykeh,https://weibo.com/u/2685318644,快转微博,https://weibo.com/2685318644/Lh9J67O07,0,0,0
4740889531122343,2022-02-25 22:33:27,落叶随风2111,https://weibo.com/u/3535367047,快转微博,https://weibo.com/3535367047/Lh9IR4HYj,0,0,0
4740806643028416,2022-02-25 17:04:06,一颗冰栗子,https://weibo.com/u/7125098880,转发微博,https://weibo.com/7125098880/Lh7zacHPq,0,0,5
4740788360319378,2022-02-25 15:51:27,爱你依旧0119,https://weibo.com/u/3219550830,转发微博,https://weibo.com/3219550830/Lh75G1l5g,0,0,0
4740788023985017,2022-02-25 15:50:06,阳光下的明珠殿,https://weibo.com/u/1824354363,战争当然不好，当然希望世界和平，当然利益关系很复杂，这那那这那那这，但国际问题祖国的态度就是我的态度[并不简单],https://weibo.com/1824354363/Lh758gIGt,0,1,0
4740786686265546,2022-02-25 15:44:48,恶人king,https://weibo.com/u/5647638991,快转微博,https://weibo.com/5647638991/Lh72YqhXc,0,0,0
4740783909111206,2022-02-25 15:33:46,容·央,https://weibo.com/u/6372941017,转发微博,https://weibo.com/6372941017/Lh6YuCeeW,0,0,0
